时间	流量	时间	流量	时间	流量
1998-7-13 8:00	93.1	1998-7-27 14:00	1610	1998-8-11 20:00	541
1998-7-13 20:00	86	1998-7-27 20:00	1530	1998-8-12 2:00	520
1998-7-14 2:00	87.7	1998-7-27 23:00	1450	1998-8-12 8:00	520
1998-7-14 8:00	93.1	1998-7-28 2:00	1410	1998-8-12 14:00	527
1998-7-15 2:00	115	1998-7-28 5:00	1350	1998-8-12 20:00	573
1998-7-15 8:00	119	1998-7-28 8:00	1250	1998-8-12 22:00	573
1998-7-15 8:30	119	1998-7-28 11:00	1230	1998-8-13 2:00	582
1998-7-15 9:30	121	1998-7-28 17:00	1170	1998-8-13 8:00	557
1998-7-15 20:00	121	1998-7-28 18:00	1160	1998-8-13 10:00	500
1998-7-16 8:00	119	1998-7-28 20:00	1110	1998-8-13 16:00	394
1998-7-16 20:00	113	1998-7-28 22:00	1100	1998-8-13 20:00	366
1998-7-17 8:00	111	1998-7-29 6:00	1100	1998-8-13 22:00	366
1998-7-17 20:00	119	1998-7-29 8:00	1040	1998-8-14 2:00	370
1998-7-18 8:00	137	1998-7-29 14:00	968	1998-8-14 8:00	430
1998-7-18 10:00	139	1998-7-29 16:00	920	1998-8-14 14:00	421
1998-7-18 14:00	139	1998-7-30 2:00	824	1998-8-14 20:00	466
1998-7-18 20:00	149	1998-7-30 8:00	716	1998-8-15 2:00	476
1998-7-19 2:00	176	1998-7-30 14:00	682	1998-8-15 8:00	466
1998-7-19 8:00	216	1998-7-30 20:00	630	1998-8-15 10:00	466
1998-7-19 10:00	228	1998-7-30 23:00	591	1998-8-15 20:00	407
1998-7-19 12:00	250	1998-7-31 5:00	557	1998-8-16 2:00	366
1998-7-19 15:06	260	1998-7-31 8:00	527	1998-8-16 8:00	346
1998-7-19 15:48	263	1998-7-31 14:00	487	1998-8-16 20:00	346
1998-7-19 16:00	263	1998-7-31 20:00	466	1998-8-17 2:00	337
1998-7-19 18:00	270	1998-8-1 2:00	455	1998-8-17 8:00	337
1998-7-19 20:00	273	1998-8-1 5:00	435	1998-8-17 14:00	337
1998-7-20 5:00	322	1998-8-1 8:00	435	1998-8-17 20:00	333
1998-7-20 8:00	330	1998-8-1 14:00	416	1998-8-18 2:00	333
1998-7-20 9:12	330	1998-8-1 20:00	407	1998-8-18 8:00	337
1998-7-20 14:00	378	1998-8-2 8:00	407	1998-8-18 20:00	378
1998-7-20 16:00	401	1998-8-2 14:00	394	1998-8-19 2:00	403
1998-7-20 22:00	514	1998-8-2 20:00	403	1998-8-19 8:00	440
1998-7-21 2:00	600	1998-8-2 23:00	416	1998-8-19 14:00	430
1998-7-21 3:00	677	1998-8-3 2:00	435	1998-8-20 8:00	337
1998-7-21 4:00	719	1998-8-3 5:00	435	1998-8-20 14:00	313
1998-7-21 8:00	789	1998-8-3 8:00	445	1998-8-21 2:00	289
1998-7-21 10:00	820	1998-8-3 14:00	445	1998-8-21 8:00	285
1998-7-21 12:00	820	1998-8-3 17:00	440	1998-8-21 14:00	278
1998-7-21 14:00	827	1998-8-3 23:00	440	1998-8-22 8:00	250
1998-7-21 16:00	828	1998-8-4 2:00	430	1998-8-22 14:00	246
1998-7-21 20:00	828	1998-8-4 5:00	426	1998-8-23 2:00	232
1998-7-21 22:00	816	1998-8-4 8:00	407	1998-8-23 8:00	232
1998-7-22 2:00	802	1998-8-4 11:00	407	1998-8-24 8:00	232
1998-7-22 6:00	780	1998-8-4 14:00	416	1998-8-24 14:00	225
1998-7-22 8:00	761	1998-8-4 17:00	430	1998-8-24 20:00	208
1998-7-22 16:00	743	1998-8-4 20:00	435	1998-8-25 2:00	208
1998-7-22 18:00	743	1998-8-5 2:00	416	1998-8-25 8:00	202
1998-7-22 20:00	738	1998-8-5 8:00	407	1998-8-25 20:00	196
1998-7-22 22:00	738	1998-8-5 20:00	378	1998-8-26 8:00	196
1998-7-23 8:00	730	1998-8-6 2:00	382	1998-8-26 20:00	189
1998-7-23 14:00	730	1998-8-6 8:00	358	1998-8-27 8:00	177
1998-7-23 16:00	725	1998-8-6 14:00	333	1998-8-27 20:00	170
1998-7-24 8:00	725	1998-8-6 20:00	325	1998-8-28 8:00	177
1998-7-24 10:00	712	1998-8-7 8:00	296	1998-8-29 8:00	164
1998-7-24 12:00	705	1998-8-7 14:00	296	1998-8-29 20:00	147
1998-7-24 14:00	715	1998-8-8 2:00	281	1998-8-30 8:00	137
1998-7-24 20:00	715	1998-8-8 8:00	281	1998-8-31 8:00	122
1998-7-25 2:00	729	1998-8-8 14:00	310	1998-9-1 8:00	112
1998-7-25 8:00	729	1998-8-8 16:00	333	1998-9-1 20:00	112
1998-7-25 12:00	764	1998-8-8 20:00	403	1998-9-2 8:00	110
1998-7-25 14:00	817	1998-8-8 22:00	426	1998-9-3 8:00	101
1998-7-25 18:00	1070	1998-8-9 2:00	445	1998-9-3 20:00	97.8
1998-7-26 0:00	1240	1998-8-9 5:00	466	1998-9-4 8:00	97.8
1998-7-26 2:00	1260	1998-8-9 8:00	466	1998-9-5 8:00	89
1998-7-26 4:00	1260	1998-8-9 14:00	466	1998-9-6 8:00	82.2
1998-7-26 6:00	1220	1998-8-9 20:00	450	1998-9-6 20:00	80.5
1998-7-26 8:00	1140	1998-8-10 2:00	455	1998-9-7 8:00	80.5
1998-7-26 12:00	1110	1998-8-10 8:00	466	1998-9-7 20:00	78.8
1998-7-26 14:00	1140	1998-8-10 14:00	476	1998-9-8 8:00	75.4
1998-7-26 23:00	1330	1998-8-10 20:00	476	1998-9-9 8:00	68.7
1998-7-27 2:00	1350	1998-8-11 2:00	500	1998-9-9 20:00	68.7
1998-7-27 8:00	1510	1998-8-11 8:00	513	1998-9-10 8:00	65.4
1998-7-27 11:00	1610	1998-8-11 14:00	541	1998-9-10 20:00	63.5
